,Cluster,App,H
0,1,APPLE,0.07297297297297298
1,2,CONTENT_FLASH,0.18072289156626506
2,3,APPLE_ICLOUD,0.08187134502923976
3,4,GOOGLE,0.05791505791505792
4,5,DROPBOX,0.20853080568720378
5,6,HTTP_CONNECT,0.09210526315789473
6,7,SPOTIFY,0.09292035398230089
7,8,WINDOWS_UPDATE,0.07929515418502203
8,9,CLOUDFLARE,0.13068181818181818
9,10,OFFICE_365,0.25663716814159293
10,11,IP_ICMP,1.0
11,12,DNS,0.0989010989010989
12,13,EBAY,0.1095890410958904
13,14,SSL,0.12857142857142856
14,15,DNS,0.9056603773584906
15,16,WHATSAPP,0.1951219512195122
16,17,DNS,0.3333333333333333
17,18,HTTP,0.2
18,19,SKYPE,0.1875
19,20,HTTP,0.25
20,21,MS_ONE_DRIVE,0.2
