,feature,H
0,P0,0.2320146670087944
1,P1,0.2308708029961225
2,P2,0.24870232789970664
3,P3,0.23123356647428606
4,P4,0.22922546004486305
0,P5,0.24840375346642984
1,P6,0.26228042638885585
2,P7,0.2423532508470749
3,P8,0.24024780341253224
4,P9,0.2312785119437665
0,P10,0.2368431548928324
1,P11,0.255409665331597
2,P12,0.2279011139945869
3,P13,0.22035395173794547
4,P14,0.2645915724798037
0,P15,0.2236851660564173
1,P16,0.20956367567069512
2,P17,0.2606905310258897
3,P18,0.23199459735084085
4,P19,0.22823704519916904
0,P20,0.2315395267285296
1,P22,0.2310792710478837
2,P23,0.23062484941600375
3,P24,0.23898593748119984
0,P25,0.23783352125447085
1,P26,0.2387492539326733
2,P27,0.22549218747020724
3,P28,0.2608377760746288
4,P29,0.22298933520435524
