,Cluster,App,H
0,1,HTTP_PROXY,0.07458563535911603
1,2,APPLE,0.11388888888888889
2,3,APPLE_ICLOUD,0.10852713178294573
3,4,CONTENT_FLASH,0.20967741935483872
4,5,CONTENT_FLASH,0.12432432432432433
5,6,APPLE_ITUNES,0.07692307692307693
6,7,SPOTIFY,0.08875739644970414
7,8,HTTP_PROXY,0.09271523178807947
8,9,EBAY,0.0945945945945946
9,10,FACEBOOK,0.14285714285714285
10,11,DROPBOX,0.5625
11,12,WINDOWS_UPDATE,0.11594202898550725
12,13,HTTP_CONNECT,0.1092436974789916
13,14,OFFICE_365,0.23140495867768596
14,15,CLOUDFLARE,0.15306122448979592
15,16,IP_ICMP,1.0
16,17,GMAIL,0.10465116279069768
17,18,HTTP,0.1511627906976744
18,19,EBAY,0.14583333333333334
19,20,GOOGLE,0.23076923076923078
20,21,DNS,1.0
21,22,HTTP,0.14285714285714285
22,23,DNS,0.5
23,24,FACEBOOK,0.5555555555555556
