,Cluster,App,H
0,1,DROPBOX,0.11353711790393013
1,2,CLOUDFLARE,0.07268170426065163
2,3,SPOTIFY,0.09302325581395349
3,4,APPLE_ICLOUD,0.12301587301587301
4,5,DNS,0.09022556390977443
5,6,HTTP_CONNECT,0.09401709401709402
6,7,CONTENT_FLASH,0.2610619469026549
7,8,HTTP,0.09644670050761421
8,9,AMAZON,0.2
9,10,INSTAGRAM,0.13274336283185842
10,11,MS_ONE_DRIVE,0.12698412698412698
11,12,IP_ICMP,1.0
12,13,MS_ONE_DRIVE,0.11594202898550725
13,14,APPLE_ITUNES,0.16901408450704225
14,15,DNS,0.9782608695652174
15,16,WHATSAPP,0.22641509433962265
16,17,OFFICE_365,0.46511627906976744
17,18,WIKIPEDIA,0.09090909090909091
18,19,FACEBOOK,0.10416666666666667
19,20,GMAIL,0.1282051282051282
20,21,HTTP_PROXY,0.19047619047619047
21,22,HTTP,0.3
22,23,HTTP,0.125
23,24,DNS,0.5833333333333334
24,25,GOOGLE,0.21428571428571427
25,26,WINDOWS_UPDATE,0.36363636363636365
