,Cluster,App,H
0,1,GMAIL,0.065625
1,2,APPLE_ICLOUD,0.0777479892761394
2,3,DROPBOX,0.17326732673267325
3,4,CONTENT_FLASH,0.2052980132450331
4,5,APPLE,0.0794979079497908
5,6,CLOUDFLARE,0.11983471074380166
6,7,OFFICE_365,0.13973799126637554
7,8,SSL,0.07177033492822966
8,9,WINDOWS_UPDATE,0.1111111111111111
9,10,HTTP_PROXY,0.11875
10,11,SPOTIFY,0.125
11,12,FACEBOOK,0.09900990099009901
12,13,MS_ONE_DRIVE,0.17647058823529413
13,14,IP_ICMP,1.0
14,15,WINDOWS_UPDATE,0.1092436974789916
15,16,SPOTIFY,0.1326530612244898
16,17,DNS,0.98
17,18,MSN,0.13333333333333333
18,19,HTTP,0.15
19,20,EBAY,0.11764705882352941
20,21,INSTAGRAM,0.6666666666666666
