,Cluster,App,H
0,1,MS_ONE_DRIVE,0.07803468208092486
1,2,HTTP_CONNECT,0.07621951219512195
2,3,SSL,0.08695652173913043
3,4,AMAZON,0.18324607329842932
4,5,HTTP_PROXY,0.08904109589041095
5,6,APPLE_ICLOUD,0.15384615384615385
6,7,MS_ONE_DRIVE,0.09195402298850575
7,8,INSTAGRAM,0.08870967741935484
8,9,CONTENT_FLASH,0.2529411764705882
9,10,APPLE_ITUNES,0.10625
10,11,WINDOWS_UPDATE,0.09701492537313433
11,12,DROPBOX,0.4583333333333333
12,13,DNS,0.19480519480519481
13,14,MSN,0.08571428571428572
14,15,GMAIL,0.08490566037735849
15,16,IP_ICMP,1.0
16,17,OFFICE_365,0.15384615384615385
17,18,CLOUDFLARE,0.1511627906976744
18,19,OFFICE_365,0.2926829268292683
19,20,HTTP,0.1780821917808219
20,21,DNS,0.15151515151515152
21,22,APPLE,0.32
22,23,DNS,1.0
23,24,YAHOO,0.28
24,25,CONTENT_FLASH,0.15384615384615385
25,26,HTTP_CONNECT,0.23809523809523808
26,27,WIKIPEDIA,0.12121212121212122
27,28,INSTAGRAM,0.2222222222222222
