,Cluster,App,H
0,1,DROPBOX,0.09018567639257294
1,2,CLOUDFLARE,0.07090464547677261
2,3,OFFICE_365,0.08717948717948718
3,4,MS_ONE_DRIVE,0.11145510835913312
4,5,DNS,0.16470588235294117
5,6,HTTP_PROXY,0.08712121212121213
6,7,CONTENT_FLASH,0.1992619926199262
7,8,HTTP,0.09767441860465116
8,9,AMAZON,0.17674418604651163
9,10,SPOTIFY,0.125
10,11,WINDOWS_UPDATE,0.1346153846153846
11,12,IP_ICMP,1.0
12,13,APPLE_ITUNES,0.11818181818181818
13,14,WINDOWS_UPDATE,0.13636363636363635
14,15,OFFICE_365,0.47058823529411764
15,16,DNS,0.23333333333333334
16,17,APPLE,0.125
17,18,DROPBOX,0.21875
18,19,DNS,1.0
19,20,REST_APP,0.2
