,Cluster,App,H
0,1,CLOUDFLARE,0.12556053811659193
1,2,CONTENT_FLASH,0.17054263565891473
2,3,APPLE_ICLOUD,0.10121457489878542
3,4,GOOGLE,0.07692307692307693
4,5,DROPBOX,0.34210526315789475
5,6,GOOGLE,0.11643835616438356
6,7,CONTENT_FLASH,0.2440944881889764
7,8,MS_ONE_DRIVE,0.1076923076923077
8,9,APPLE_ITUNES,0.10743801652892562
9,10,FACEBOOK,0.15254237288135594
10,11,APPLE,0.16521739130434782
11,12,HTTP_PROXY,0.12380952380952381
12,13,WHATSAPP,0.10989010989010989
13,14,IP_ICMP,1.0
14,15,DNS,0.3484848484848485
15,16,MS_ONE_DRIVE,0.10344827586206896
16,17,WINDOWS_UPDATE,0.13402061855670103
17,18,EBAY,0.11494252873563218
18,19,INSTAGRAM,0.12987012987012986
19,20,OFFICE_365,0.29411764705882354
20,21,NETFLIX,0.12
21,22,FACEBOOK,0.11940298507462686
22,23,DNS,0.1702127659574468
23,24,SPOTIFY,0.20634920634920634
24,25,EBAY,0.14814814814814814
25,26,DNS,0.78
26,27,HTTP_CONNECT,0.2222222222222222
27,28,HTTP_CONNECT,0.15
28,29,EBAY,0.12195121951219512
29,30,HTTP,0.3333333333333333
30,31,WIKIPEDIA,0.13333333333333333
31,32,APPLE_ICLOUD,0.22857142857142856
32,33,HTTP,0.12
33,34,SSL,0.13793103448275862
34,35,HTTP_PROXY,0.2
35,36,EBAY,0.2857142857142857
36,37,HTTP_CONNECT,0.20833333333333334
