,Cluster,App,H
0,1,DROPBOX,0.06605922551252848
1,2,CONTENT_FLASH,0.20496894409937888
2,3,APPLE_ICLOUD,0.09570957095709572
3,4,APPLE_ICLOUD,0.09584664536741214
4,5,APPLE,0.11320754716981132
5,6,CLOUDFLARE,0.21904761904761905
6,7,WINDOWS_UPDATE,0.08441558441558442
7,8,HTTP_CONNECT,0.11428571428571428
8,9,EBAY,0.10317460317460317
9,10,CLOUDFLARE,0.09090909090909091
10,11,IP_ICMP,1.0
11,12,DROPBOX,0.14814814814814814
12,13,DNS,0.18867924528301888
13,14,OFFICE_365,0.2872340425531915
14,15,APPLE_ITUNES,0.13978494623655913
15,16,SPOTIFY,0.2077922077922078
16,17,HTTP,0.1917808219178082
17,18,DROPBOX,0.14545454545454545
18,19,GMAIL,0.1282051282051282
19,20,WINDOWS_UPDATE,0.11688311688311688
20,21,WHATSAPP,0.19047619047619047
21,22,DNS,1.0
22,23,HTTP,0.17647058823529413
23,24,HTTP_CONNECT,0.125
24,25,INSTAGRAM,0.1891891891891892
25,26,HTTP,0.375
