,Cluster,App,H
0,1,CLOUDFLARE,0.08395061728395062
1,2,APPLE,0.085
2,3,WHATSAPP,0.10614525139664804
3,4,CLOUDFLARE,0.09731543624161074
4,5,HTTP_CONNECT,0.07885304659498207
5,6,DROPBOX,0.10185185185185185
6,7,CONTENT_FLASH,0.24401913875598086
7,8,SPOTIFY,0.12
8,9,AMAZON,0.15428571428571428
9,10,WINDOWS_UPDATE,0.1
10,11,HTTP,0.1206896551724138
11,12,EBAY,0.09433962264150944
12,13,IP_ICMP,1.0
13,14,DROPBOX,0.2391304347826087
14,15,HTTP_CONNECT,0.19642857142857142
15,16,OFFICE_365,0.2835820895522388
16,17,DNS,0.2391304347826087
17,18,SSL,0.1346153846153846
18,19,DNS,1.0
19,20,FACEBOOK,0.3684210526315789
20,21,HTTP,0.125
21,22,GOOGLE,0.2
22,23,INSTAGRAM,0.35294117647058826
