,Cluster,App,H
0,1,CONTENT_FLASH,0.18518518518518517
1,2,APPLE_ICLOUD,0.08143322475570032
2,3,APPLE_ICLOUD,0.08794788273615635
3,4,CLOUDFLARE,0.1018867924528302
4,5,EBAY,0.08243727598566308
5,6,HTTP_PROXY,0.09239130434782608
6,7,INSTAGRAM,0.0891089108910891
7,8,WINDOWS_UPDATE,0.08235294117647059
8,9,DROPBOX,0.3218390804597701
9,10,IP_ICMP,1.0
10,11,GOOGLE,0.08653846153846154
11,12,APPLE_ITUNES,0.11538461538461539
12,13,SPOTIFY,0.15294117647058825
13,14,MS_ONE_DRIVE,0.16666666666666666
14,15,CONTENT_FLASH,0.1
15,16,DNS,0.1694915254237288
16,17,OFFICE_365,0.3333333333333333
17,18,DROPBOX,0.19696969696969696
18,19,HTTP,0.2033898305084746
19,20,HTTP,0.14285714285714285
20,21,SPOTIFY,0.15
21,22,DNS,1.0
22,23,WHATSAPP,0.3142857142857143
23,24,FACEBOOK,0.30303030303030304
24,25,MSN,0.23529411764705882
25,26,REST_APP,0.2
26,27,APPLE_ICLOUD,0.4
