,Cluster,App,H
0,1,DROPBOX,0.21176470588235294
1,2,WHATSAPP,0.14338235294117646
2,3,OFFICE_365,0.11986301369863013
3,4,WINDOWS_UPDATE,0.08333333333333333
4,5,CLOUDFLARE,0.06866952789699571
5,6,DROPBOX,0.064
6,7,CONTENT_FLASH,0.25102880658436216
7,8,SSL,0.09223300970873786
8,9,APPLE_ICLOUD,0.09359605911330049
9,10,CLOUDFLARE,0.1569767441860465
10,11,WINDOWS_UPDATE,0.0759493670886076
11,12,WINDOWS_UPDATE,0.09815950920245399
12,13,APPLE_ICLOUD,0.14743589743589744
13,14,APPLE,0.17757009345794392
14,15,IP_ICMP,1.0
15,16,HTTP_CONNECT,0.13829787234042554
16,17,DNS,0.391304347826087
17,18,DNS,1.0
18,19,MSN,0.14583333333333334
19,20,HTTP,0.16666666666666666
20,21,HTTP,0.2222222222222222
