,Cluster,App,H
0,1,DROPBOX,0.09751434034416825
1,2,OFFICE_365,0.09971509971509972
2,3,CLOUDFLARE,0.09198813056379822
3,4,CONTENT_FLASH,0.18309859154929578
4,5,HTTP_CONNECT,0.0970464135021097
5,6,APPLE,0.0995850622406639
6,7,CLOUDFLARE,0.08071748878923767
7,8,WHATSAPP,0.10326086956521739
8,9,HTTP,0.11976047904191617
9,10,INSTAGRAM,0.10975609756097561
10,11,APPLE,0.16393442622950818
11,12,IP_ICMP,1.0
12,13,DNS,0.2727272727272727
13,14,FACEBOOK,0.17142857142857143
14,15,EBAY,0.15151515151515152
15,16,EBAY,0.16981132075471697
16,17,DNS,1.0
17,18,HTTP,0.1111111111111111
18,19,YOUTUBE,0.19047619047619047
19,20,HTTP,0.46153846153846156
