,Cluster,App,H
0,1,INSTAGRAM,0.06569343065693431
1,2,CONTENT_FLASH,0.23404255319148937
2,3,HTTP_CONNECT,0.08695652173913043
3,4,DNS,0.09022556390977443
4,5,INSTAGRAM,0.09316770186335403
5,6,APPLE,0.1375
6,7,CLOUDFLARE,0.18110236220472442
7,8,CLOUDFLARE,0.08387096774193549
8,9,INSTAGRAM,0.10344827586206896
9,10,OFFICE_365,0.20930232558139536
10,11,CONTENT_FLASH,0.17391304347826086
11,12,APPLE_ICLOUD,0.1509433962264151
12,13,HTTP_CONNECT,0.13636363636363635
13,14,HTTP,0.13157894736842105
14,15,APPLE_ITUNES,0.10084033613445378
15,16,IP_ICMP,1.0
16,17,SPOTIFY,0.09523809523809523
17,18,DNS,0.19230769230769232
18,19,DROPBOX,0.12
19,20,MSN,0.1
20,21,MS_ONE_DRIVE,0.18947368421052632
21,22,NETFLIX,0.10714285714285714
22,23,WINDOWS_UPDATE,0.14285714285714285
23,24,YOUTUBE,0.1
24,25,FACEBOOK,0.2702702702702703
25,26,OFFICE_365,0.16
26,27,APPLE_ICLOUD,0.4375
27,28,DNS,1.0
28,29,EBAY,0.13157894736842105
29,30,GOOGLE,0.13636363636363635
30,31,SKYPE,0.1875
31,32,EBAY,0.1111111111111111
32,33,SPOTIFY,0.6666666666666666
33,34,DROPBOX,0.7142857142857143
