,Cluster,App,H
0,1,MS_ONE_DRIVE,0.07709750566893424
1,2,DROPBOX,0.15547703180212014
2,3,AMAZON,0.13127413127413126
3,4,CONTENT_FLASH,0.2288135593220339
4,5,EBAY,0.08
5,6,HTTP_PROXY,0.09178743961352658
6,7,APPLE_ICLOUD,0.10606060606060606
7,8,APPLE,0.08695652173913043
8,9,CLOUDFLARE,0.0967741935483871
9,10,HTTP_CONNECT,0.0896551724137931
10,11,WHATSAPP,0.13131313131313133
11,12,IP_ICMP,1.0
12,13,HTTP_CONNECT,0.08333333333333333
13,14,OFFICE_365,0.11235955056179775
14,15,DROPBOX,0.20754716981132076
15,16,OFFICE_365,0.2597402597402597
16,17,WHATSAPP,0.15625
17,18,CONTENT_FLASH,0.11320754716981132
18,19,SPOTIFY,0.24074074074074073
19,20,HTTP_PROXY,0.14814814814814814
20,21,SSL,0.11764705882352941
21,22,DNS,1.0
22,23,FACEBOOK,0.391304347826087
23,24,HTTP,0.2857142857142857
24,25,REST_APP,0.11764705882352941
