,Cluster,App,H
0,1,APPLE_ICLOUD,0.08264462809917356
1,2,AMAZON,0.0989010989010989
2,3,CLOUDFLARE,0.1
3,4,SPOTIFY,0.08015267175572519
4,5,DNS,0.10596026490066225
5,6,APPLE,0.11587982832618025
6,7,DROPBOX,0.1069182389937107
7,8,CONTENT_FLASH,0.26291079812206575
8,9,HTTP_PROXY,0.07339449541284404
9,10,HTTP_CONNECT,0.09497206703910614
10,11,MS_ONE_DRIVE,0.12
11,12,HTTP_CONNECT,0.12686567164179105
12,13,IP_ICMP,1.0
13,14,EBAY,0.0989010989010989
14,15,OFFICE_365,0.2549019607843137
15,16,SSL,0.102803738317757
16,17,OFFICE_365,0.20408163265306123
17,18,DNS,0.9555555555555556
18,19,HTTP,0.125
19,20,OFFICE_365,0.4
