,Cluster,App,H
0,1,CLOUDFLARE,0.0729483282674772
1,2,HTTP_CONNECT,0.07960199004975124
2,3,CLOUDFLARE,0.07329842931937172
3,4,DROPBOX,0.14566929133858267
4,5,APPLE_ICLOUD,0.09259259259259259
5,6,SPOTIFY,0.09134615384615384
6,7,CONTENT_FLASH,0.21524663677130046
7,8,INSTAGRAM,0.08888888888888889
8,9,AMAZON,0.18716577540106952
9,10,HTTP,0.12080536912751678
10,11,APPLE,0.13076923076923078
11,12,HTTP,0.06451612903225806
12,13,IP_ICMP,1.0
13,14,APPLE_ITUNES,0.12371134020618557
14,15,OFFICE_365,0.37142857142857144
15,16,MSN,0.08928571428571429
16,17,EBAY,0.13793103448275862
17,18,DNS,1.0
18,19,SSL,0.13953488372093023
19,20,HTTP_PROXY,0.21212121212121213
20,21,DNS,0.47058823529411764
21,22,HTTP,0.125
22,23,IP_ICMP,1.0
