,Cluster,App,H
0,1,DROPBOX,0.0918580375782881
1,2,APPLE,0.06666666666666667
2,3,OFFICE_365,0.09046454767726161
3,4,HTTP_PROXY,0.0771513353115727
4,5,CONTENT_FLASH,0.22676579925650558
5,6,DROPBOX,0.14516129032258066
6,7,APPLE_ICLOUD,0.1793103448275862
7,8,AMAZON,0.09917355371900827
8,9,IP_ICMP,1.0
9,10,MS_ONE_DRIVE,0.09259259259259259
10,11,INSTAGRAM,0.12264150943396226
11,12,APPLE,0.12195121951219512
12,13,APPLE_ICLOUD,0.15492957746478872
13,14,DNS,0.25
14,15,WINDOWS_UPDATE,0.16666666666666666
15,16,WINDOWS_UPDATE,0.11475409836065574
16,17,DNS,0.96
17,18,EBAY,0.17073170731707318
18,19,FACEBOOK,0.20930232558139536
19,20,HTTP,0.21428571428571427
20,21,REST_APP,0.16666666666666666
21,22,WIKIPEDIA,0.2
