,Cluster,App,H
0,1,GOOGLE,0.08275862068965517
1,2,CONTENT_FLASH,0.2077562326869806
2,3,FACEBOOK,0.08163265306122448
3,4,APPLE_ICLOUD,0.10526315789473684
4,5,APPLE,0.09090909090909091
5,6,DROPBOX,0.21428571428571427
6,7,HTTP_CONNECT,0.1357142857142857
7,8,APPLE_ICLOUD,0.13138686131386862
8,9,OFFICE_365,0.24545454545454545
9,10,IP_ICMP,1.0
10,11,CLOUDFLARE,0.12087912087912088
11,12,WINDOWS_UPDATE,0.14444444444444443
12,13,HTTP,0.15053763440860216
13,14,HTTP_PROXY,0.2459016393442623
14,15,NETFLIX,0.10126582278481013
15,16,FACEBOOK,0.20481927710843373
16,17,SPOTIFY,0.1076923076923077
17,18,SPOTIFY,0.11864406779661017
18,19,SPOTIFY,0.1206896551724138
19,20,HTTP_CONNECT,0.1527777777777778
20,21,GOOGLE,0.11666666666666667
21,22,EBAY,0.14583333333333334
22,23,HTTP_CONNECT,0.11538461538461539
23,24,DNS,1.0
24,25,DNS,0.32142857142857145
25,26,SPOTIFY,0.21212121212121213
26,27,HTTP_PROXY,0.10526315789473684
27,28,HTTP_PROXY,0.15
28,29,HTTP,0.375
29,30,INSTAGRAM,0.13333333333333333
30,31,CLOUDFLARE,0.3333333333333333
31,32,SKYPE,0.23076923076923078
32,33,DNS,0.9
33,34,IP_ICMP,1.0
34,35,SKYPE,0.2222222222222222
