index	Flow_Duration
0	0.8148192714775369
1	-0.6557804172580518
2	2.2832592757513748
3	-0.38365495731339916
4	-0.6617436291379275
5	1.4223037543247619
6	2.239560502012648
7	-0.6618313914343121
8	-0.6676855743018576
9	-0.6622425809142457
10	-0.6498754910171107
11	-0.6614739622339899
12	-0.6629413656342338
13	-0.667687008568747
14	0.8074525552602119
15	-0.5838696879919896
16	-0.6592001546395775
17	-0.6604246723607315
18	-0.667685178642026
19	2.281866206941982
20	-0.6615551961431541
21	-0.6616192683071249
22	-0.6676832992578262
23	0.8014773746704319
24	-0.6617491189180902
25	2.2956620244908277
26	-0.4520615005526404
27	2.1768338782138956
28	-0.6618074292857642
29	-0.6676664342575066
30	0.8151663640647601
31	-0.6589988874290182
32	-0.6364821337031654
33	-0.407571629709478
34	-0.6369958238082086
35	-0.6620479410058648
36	-0.6676196227536869
37	-0.6622030396598306
38	-0.6676764741257321
39	-0.661868509272259
40	2.28223414585658
41	-0.654090999234832
42	-0.6676883439206784
43	-0.661768877180928
44	-0.667685697945555
45	-0.6611020914498161
46	-0.6380378681608019
47	2.2968311992930444
48	-0.6676883191919389
49	-0.6630257400933108
50	-0.66125493978849
51	0.8004324865127995
52	-0.6587488304154816
53	-0.6676881955482417
54	0.8258981424206391
55	1.9851528129682947
56	-0.6617936059203996
57	-0.184724216974392
58	-0.49926641388860665
59	-0.6619785274341681
60	1.977833625388234
61	-0.6676826068531211
62	-0.6676578286561705
63	-0.6616587848328005
64	1.9342083701919561
65	0.9245554021129507
66	-0.6676607466474281
67	-0.6676880966332838
68	-0.6454227600016385
69	-0.6617403896730567
70	-0.6676786502548056
71	0.8067333940588992
72	-0.661509101772779
73	-0.6676849066258919
74	0.5721028853380392
75	0.8097193646213537
76	-0.16684736609307182
77	-0.667679614675645
78	-0.6676822853795079
79	0.5712898538416924
80	1.8886037525021542
81	-0.667686167791605
82	-0.6676832003428683
83	-0.6676872805848811
84	-0.6585942016075658
85	-0.6621747005243962
86	-0.6498436404006713
87	-0.6504390342609288
88	-0.6589630554855239
89	0.802476935048613
90	-0.6617512455896848
91	-0.6676864892652181
92	-0.6676868354675707
93	-0.6517282918220193
94	-0.6676816918897606
95	-0.6607703554098049
96	-0.63724051468528
